# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   218604 149.74939291  1.618067874   0.38 11.06  -0.92   23.16    0.05   21.99    0.02   20.72    0.01   19.88    0.01   19.27    0.00   18.89    0.00
   220210 150.35931135  1.614688029   1.45 10.81   0.34   26.54    0.63   26.31    0.21   26.27    0.27   25.92    0.18   24.93    0.12   24.12    0.08
   220590 149.88354057  1.614919132   1.05 10.87  -0.25   26.57   -1.00   26.72    0.28   26.26    0.28   25.15    0.11   23.88    0.05   22.64    0.02
   220641 150.34545704  1.621820599   0.23 11.20  -0.85   21.05    0.01   20.07    0.01   18.70    0.01   18.24    0.00   17.68    0.00   17.35    0.00
   220663 150.10051594  1.615290618   0.83 10.04  -2.53   27.14   -1.00   27.34    0.46   26.09    0.24   24.88    0.09   23.73    0.05   23.07    0.03
   220691 150.18558090  1.615844877   0.07  7.31  -3.98   26.63    0.70   25.38    0.13   24.59    0.10   24.21    0.07   23.82    0.07   23.76    0.10
   220717 150.02137575  1.615689434   0.88  9.89  -2.11   27.17   -1.00   27.51    0.56   26.13    0.25   25.40    0.13   24.20    0.07   23.47    0.05
   220745 150.26777152  1.615412606   1.24 10.38  -1.61   26.89   -1.00   26.82    0.31   27.17    0.71   25.64    0.18   24.63    0.11   23.68    0.06
   220812 149.96080813  1.615766606   0.97 10.24   1.10   26.92   -1.00   27.23    0.42   26.53    0.35   25.38    0.12   24.24    0.07   23.31    0.04
   220940 150.01291426  1.616273488   0.85  9.20  -4.13   27.13   -1.00   27.70    0.63   26.47    0.32   25.99    0.21   24.90    0.12   24.26    0.10
   221011 149.68819815  1.619957737   0.47 10.88 -20.73   24.63    0.16   23.29    0.04   22.07    0.02   21.06    0.01   20.26    0.01   19.84    0.00
   221020 150.02342414  1.616023843   0.58  9.70   0.20   26.58    0.47   26.03    0.17   25.06    0.11   24.21    0.06   23.46    0.04   23.02    0.03
   221074 150.07530021  1.615285144   1.40 10.65  -0.48   27.06   -1.00   26.39    0.24   25.98    0.24   25.30    0.14   24.17    0.07   23.27    0.05
